participantid_in_session,participantcode,participantlabel,participant_is_bot,participant_index_in_pages,participant_max_page_index,participant_current_app_name,participant_current_page_name,participanttime_started_utc,participantvisited,participantmturk_worker_id,participantmturk_assignment_id,participantpayoff,sessioncode,sessionlabel,sessionmturk_hitid,sessionmturk_hitgroupid,sessioncomment,sessionis_demo,sessionconfigreal_world_currency,sessionconfigparticipation_fee,sessionconfigname,pre1playerid_in_group,pre1playerrole,pre1playerpayoff,pre1playerconsent,pre1playerattention_check_num,pre1playerattention_check_num2,pre1playerattention_check_num3,pre1playerattention_check,pre1playerattention_check2,pre1playerattention_check3,pre1groupid_in_subsession,pre1subsessionround_number,main1playerid_in_group,main1playerrole,main1playerpayoff,main1playerstated_amount,main1playerthreshold_integer,main1playerbriefing_correct_amou,main1playerbriefing_1,main1playerbriefing_2,main1playerbriefing_3,main1playerbriefing_4,main1playerbriefing_5,main1playerbriefing_6,main1playerbriefing_7,main1playerbriefing_8,main1playerbriefing_9,main1playerbriefing_10,main1playerbriefing_11,main1playerbriefing_12,main1playerbriefing_13,main1playerbriefing_14,main1playerbriefing_15,main1playermisreport_reason,main1playeraccept_next_experimen,main1playerprefer,main1playerpainter,main1playerq1,main1playerq2,main1playerq3,main1playerq4,main1playerq5,main1playerq6,main1playerq7,main1playerq8,main1playerq9,main1playerq10,main1playerq11,main1playerq12,main1playercomp1,main1playercomp2,main1playercomp3,main1playercomp4,main1playercomp5,main1playercomp6,main1playercomp7,main1playerdictator_keep,main1playerage,main1playergender,main1playereducation,main1playerincome,main1playeremployment,main1playeroccupation,main1groupid_in_subsession,main1subsessionround_number,end1playerid_in_group,end1playerrole,end1playerpayoff,end1groupid_in_subsession,end1subsessionround_number,end21playerid_in_group,end21playerrole,end21playerpayoff,end21groupid_in_subsession,end21subsessionround_number,treat8,treat10,treat12
67,h3f5a1xs,,0,24,25,end,End,2025-04-11 12:37:32.376190,1,,,2,gixfpzmu,,,,,0,1,0,main,67,,0,1,76,69,43,76,,,1,1,67,,2,14,12,5,2,2,3,1,3,3,5,4,1,4,8,8,8,8,8,Because I thought some the answers I had given were graded incorrectly.,,Right,,2,5,1,4,1,5,5,1,5,1,4,5,2,5,1,1,1,1,1,5,59,Male,College Graduate (4 years),"$100,000 - $149,999",Full-time employed,Retail/Sales,1,1,67,,0,1,1,67,,0,1,1,0,0,1
89,ihtkyhez,,0,24,25,end,End,2025-04-11 12:42:58.202722,1,,,2.5,gixfpzmu,,,,,0,1,0,main,89,,0,1,72,77,46,72,,,1,1,89,,2.5,11,8,5,2,1,3,1,3,8,8,8,8,8,8,8,8,8,8,So that I could get a better bonus without looking too obvious that I didn't report my true score.,,Left,,2,5,4,3,5,4,2,4,4,5,2,4,4,4,2,4,4,4,3,9,57,Female,High School or equivalent,"Less than $25,000",Unable to work,Other,1,1,89,,0,1,1,89,,0,1,1,1,0,0
98,xsbeiejx,,0,23,25,main,Code,2025-04-11 12:44:42.655102,1,,,2,gixfpzmu,,,,,0,1,0,main,98,,0,1,91,94,96,91,,,1,1,98,,2,12,10,4,2,4,3,2,3,1,7,4,8,8,8,8,8,8,8,Those were the points i got right,,Right,,4,4,1,5,3,5,4,2,5,4,4,4,5,5,3,5,5,5,5,5,23,Male,Master's Degree (MA),"$75,000 - $99,999",Part-time employed,Healthcare,1,1,98,,0,1,1,98,,0,1,1,0,1,0
105,tb2ymo77,,0,24,25,end,End,2025-04-11 12:46:42.807932,1,,,2,gixfpzmu,,,,,0,1,0,main,105,,0,1,71,91,53,71,,,1,1,105,,2,10,8,6,2,3,3,1,1,3,3,4,3,7,8,2,2,2,8,it's higher than 8 but. not so much that it seems TOO high,,Left,,3,2,3,4,1,3,3,2,3,2,1,1,3,3,3,1,1,1,1,5,46,Prefer not to say,Vocational/Technical School (2 years),"Less than $25,000",Self-employed,Arts/Entertainment,1,1,105,,0,1,1,105,,0,1,1,1,0,0
107,pd93b7k7,,0,24,25,end,End,2025-04-11 12:46:48.736007,1,,,2,gixfpzmu,,,,,0,1,0,main,107,,0,1,95,62,40,95,,,1,1,107,,2,14,12,1,3,1,4,4,4,8,8,8,8,8,8,8,8,8,8,That's the score I choose,,Right,,4,5,1,5,4,4,4,1,5,1,5,5,5,4,2,5,4,4,5,7,39,Male,Master's Degree (MA),"$100,000 - $149,999",Full-time employed,Healthcare,1,1,107,,0,1,1,107,,0,1,1,0,0,1
115,z7yve5c2,,0,23,25,main,Code,2025-04-11 12:48:19.243367,1,,,1.5,gixfpzmu,,,,,0,1,0,main,115,,0,1,45,100,48,45,,,1,1,115,,1.5,13,12,6,2,4,3,1,3,1,3,4,4,1,4,8,8,8,8,to get an additional 1 as bonus but not be suspicious by saying i got all the points,,Right,,4,2,1,1,4,5,1,5,5,5,5,2,5,1,5,5,1,5,2,5,35,Female,College Graduate (4 years),"$50,000 - $74,999",Self-employed,Arts/Entertainment,1,1,115,,0,1,1,115,,0,1,1,0,0,1
117,hyt1nkhk,,0,24,25,end,End,2025-04-11 12:48:24.212687,1,,,3,gixfpzmu,,,,,0,1,0,main,117,,0,1,54,22,100,54,,,1,1,117,,3,12,8,3,3,1,1,1,4,1,7,3,8,2,1,2,5,6,2,"It said we could put any number that we want and receive up to 2 extra dollars for anything above the number 8, so that is what i chose to do.  It also said that this could be flagged by other members as being wrong at which time the number would be corrected and i will only receive payment based on my actual correct answers. I chose to go ahead and choose a large number just to see what would happen honestly. Interesting. I would be interested in a debriefing if available.",,Right,,2,2,3,2,3,3,2,1,3,4,4,2,3,3,3,2,2,2,1,5,45,Female,High School or equivalent,"Less than $25,000",Unable to work,Other,1,1,117,,0,1,1,117,,0,1,1,1,0,0
118,ieez3dge,,0,24,25,end,End,2025-04-11 12:48:25.242751,1,,,2,gixfpzmu,,,,,0,1,0,main,118,,0,1,76,72,72,76,,,1,1,118,,2,12,10,7,2,1,3,1,3,1,3,4,8,8,8,8,8,8,8,I reported 12 to get a bonus. That task was difficult and I deserve it!,,Right,,4,2,1,1,5,4,2,3,4,4,4,4,5,5,1,1,4,3,3,5,41,Female,Some College,"$75,000 - $99,999",Full-time employed,Healthcare,1,1,118,,0,1,1,118,,0,1,1,0,1,0
121,f4c5px91,,0,24,25,end,End,2025-04-11 12:48:53.467637,1,,,2.5,gixfpzmu,,,,,0,1,0,main,121,,0,1,18,99,62,18,,,1,1,121,,2.5,11,8,0,3,2,2,4,2,3,7,2,4,1,6,2,8,5,2,Because i feel like i was able to score 11 if i had more tme to chose,,Right,,5,5,1,5,1,5,5,1,5,3,5,5,1,5,3,5,5,5,5,7,41,Male,Master's Degree (MA),"$25,000 - $49,999",Part-time employed,Education,1,1,121,,0,1,1,121,,0,1,1,1,0,0
123,lut1t1me,,0,24,25,end,End,2025-04-11 12:49:51.675528,1,,,2.5,gixfpzmu,,,,,0,1,0,main,123,,0,1,67,57,24,67,,,1,1,123,,2.5,15,12,4,3,2,1,2,3,5,3,7,6,3,4,2,5,7,2,To get the highest bonus.,,Right,,5,4,2,4,4,5,1,2,5,2,2,3,5,2,2,3,1,1,1,10,38,Male,College Graduate (4 years),"$75,000 - $99,999",Full-time employed,Government/Public Service,1,1,123,,0,1,1,123,,0,1,1,0,0,1
